frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas
189,144480,38395.8,130545584,11499242,38080722,3731627,47045737,144480,53953,7678775,12305098,1713952,52156,762020,2600640
190,144480,44711.0,152017264,13264454,44523520,4668808,54022273,144480,53698,8804044,15472603,1858383,52184,762616,2600640
191,144480,55970.0,190294012,15627747,59855236,6728858,68071681,144480,53875,13926194,20444977,3408666,52264,763930,2600640
192,144480,46385.1,157709144,13384668,47327752,4684850,56146135,144480,53838,9581194,16363458,2094733,52306,764939,2600640
193,144480,33757.1,114773902,9934630,33648526,3264273,41216012,144480,53810,6986510,10342546,1659298,52379,765915,2600640
194,144480,37022.2,125874936,9932760,34544958,4268834,49195094,144480,53833,7084455,10535763,1650497,52360,765479,2600640
195,144480,36949.3,125627118,9947388,34437468,4242477,48973467,144480,53800,6970632,10546367,1637177,52393,765839,2600640
196,144480,32657.6,111035840,9788430,32709665,2949102,39825735,144480,53430,6772808,9972560,1579986,52437,766363,2600640
197,144480,32743.5,111327798,9872376,32633108,2966926,39747701,144480,53759,6786361,9932983,1550677,52504,767643,2600640
198,144480,32716.8,111236882,9877952,32669675,2984256,39849910,144480,53658,6789733,9948697,1543420,52548,768278,2600640
199,144480,32960.0,112063864,9883018,32921934,2980480,40185074,144480,53673,6850972,10086291,1549962,52620,769443,2600640
200,144480,33981.0,115535094,10145634,33966383,3155715,41398036,144480,53719,6971215,10393892,1582763,52661,770038,2600640
201,144480,37006.5,125822168,9825354,34651659,4194738,49166203,144480,53856,7132458,10582770,1650394,52709,770276,2600640
202,144480,32633.5,110953390,9749806,32747144,2940891,39584377,144480,53724,6729938,10011405,1650350,52711,770503,2600640
203,144480,32982.2,112139240,9886996,32861635,2979513,40050719,144480,53354,6928038,9942158,1543033,52772,771595,2600640
204,144480,36958.2,125657443,9834194,34458927,4219945,49153760,144480,53435,7011960,10533743,1635852,52803,772797,2600640
205,144480,33075.5,112456232,9879482,33241013,3001199,40159491,144480,54187,6853921,10122717,1575591,52840,773716,2600640
206,144480,33048.9,112366092,9894136,33157371,3020460,40254246,144480,53682,6927750,10035877,1558580,52849,774346,2600640
207,144480,37077.3,126062687,10077059,34599053,4213654,49072688,144480,53516,7012366,10650122,1668192,52924,774997,2600640
208,144480,34226.6,116370678,11324412,33765790,3069081,41510891,144480,53622,7055293,10412436,1621792,52972,775935,2600640
209,144480,33961.6,115468862,10028368,33719819,3165193,41774796,144480,53785,6901077,10410534,1615438,53023,776389,2600640
210,144480,32731.5,111286216,9749772,32801441,3065944,39759491,144480,53458,6800691,10019208,1569788,53040,776766,2600640
211,144480,32760.6,111385564,9840620,32983580,2980027,39718855,144480,53522,6794816,9972010,1545384,53056,777462,2600640
212,144480,32838.3,111649650,9803322,32885811,3006401,40075036,144480,53439,6925668,9927906,1545307,53082,777813,2600640
213,144480,34231.5,116386522,11654931,33971835,3061792,41250375,144480,53508,7166654,10437345,1621496,53106,778242,2600640
214,144480,33279.7,113150674,9875402,33824773,3018422,40178148,144480,53930,6953832,10573375,1706534,53157,779100,2600640
215,144480,32745.2,111333342,9797372,32698918,2970264,39951198,144480,53803,6733350,9944412,1570442,53209,780299,2600640
216,144480,32805.2,111537236,9806076,32908842,3098238,39775524,144480,53589,6832980,9946782,1543785,53239,781140,2600640
217,144480,32662.8,111053248,9785268,32856433,2974083,39650211,144480,53740,6894432,9939423,1546361,53275,781535,2600640
218,144480,37137.4,126266856,10011844,34411917,4248821,49436667,144480,53563,6927377,10518242,1626237,53271,782084,2600640
