frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento
398,144480,27986.7,95151516,9281151,26894948,2786114,39764179
399,144480,27734.3,94293016,9306815,26520530,2767183,39527978
400,144480,27325.3,92902240,9346084,25761277,2761326,39046155
401,144480,31322.5,106492523,9275868,28385765,2887237,47491140
402,144480,28906.2,98276212,9402269,28130913,2756712,40795364
403,144480,27426.1,93245810,9246300,26313038,2734739,38874763
404,144480,27976.7,95115782,9432653,26966669,2773415,39725503
405,144480,29456.5,100148530,9774284,28961483,2887025,41505470
406,144480,29137.3,99063414,9809510,28594193,2901603,41073577
407,144480,28429.4,96656690,9654333,27346101,2899365,40535714
408,144480,28153.5,95718766,9637062,26934812,2986843,40158579
409,144480,28710.5,97611801,9743393,27721858,2913981,40667328
410,144480,26759.8,90979343,9144985,25061673,2693282,38246697
411,144480,28922.8,98332788,9906993,27822805,3080082,41115344
412,144480,28793.7,97895588,9977927,27353410,3010831,40950724
413,144480,27167.7,92367970,9401190,25267152,2793239,38864544
414,144480,29090.3,98902016,10011954,27862561,3035702,41473051
415,144480,29174.1,99188092,10061991,27879701,2977505,41659177
416,144480,28998.8,98591568,10026179,27708683,3020776,41290311
417,144480,27874.8,94769866,9733301,26338763,2915284,39726969
418,144480,28557.7,97092780,9747436,27380552,2954201,40535106
419,144480,27211.0,92515156,9159998,25723021,2716798,38872853
420,144480,27720.2,94247932,9424360,25925305,2768602,39872159
421,144480,29652.2,100815372,9682835,28584114,2811855,42125457
422,144480,31193.1,106052698,10250323,30784931,3085484,44084705
423,144480,31361.6,106625184,10007467,31054303,2984470,44224352
424,144480,31157.7,105931006,10168298,30701078,3161580,43838616
425,144480,27964.5,95075424,9291561,26710787,2749115,39755933
426,144480,27704.0,94189412,9315127,26288099,2724505,39324886
427,144480,27853.8,94698256,9422923,26292231,2771787,39831956
428,144480,27379.0,93085575,9292297,25614940,2759661,39344773
429,144480,26560.0,90300301,9193260,24599588,2741634,38180167
430,144480,26410.1,89789778,9258838,24527419,2723275,37835584
431,144480,27556.8,93688769,9365727,25952449,2763202,39324170
432,144480,26727.8,90870169,9208146,24983764,2762075,38056269
433,144480,27391.9,93128279,9252207,25931707,2704170,39196549
434,144480,26833.4,91229549,9207084,25066267,2707516,38459005
435,144480,26636.2,90560014,9158957,24825664,2714898,38248169
436,144480,29058.4,98794610,9265440,28457417,2747010,41234710
437,144480,26934.3,91574512,9198089,25464789,2718811,38206768
438,144480,27075.3,92053634,9364490,25591191,2739566,38540515
439,144480,26925.8,91545646,9249216,25374878,2757744,38391228
440,144480,26919.4,91522492,9156722,25379688,2722837,38393332
441,144480,27120.3,92205281,9249562,25568617,2682695,38709697
442,144480,25947.7,88220956,9059974,24036173,2668411,37166248
443,144480,27725.0,94262212,9194255,26957148,2738397,39239240
444,144480,26938.3,91588112,9213024,25578213,2728836,38236488
