frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
178,144480,30884.7,105005226,9513506,28813066,2770626,38211915,144480,53795,5377816,8050218,1658424,52007,759456,2600640,21238,0
179,144480,34558.4,117494989,9514084,31185950,4345590,46386267,144480,53520,5988228,8593168,1791857,52047,760606,2600640,20998,0
180,144480,30454.4,103544586,9409704,28253432,2675324,37682963,144480,53503,5320832,7815873,1656885,52100,760839,2600640,20891,0
181,144480,36397.2,123747276,10074404,33300403,4530222,48299786,144480,53660,6136636,9217567,1915705,52137,762091,2600640,20943,0
182,144480,30739.7,104513110,9382708,28963896,2660855,38041081,144480,53793,5467550,8185544,1700334,52209,762779,2600640,20733,0
183,144480,30291.4,102989774,9387808,27955578,2681745,37464938,144480,53429,5268626,7777096,1627750,52254,763166,2600640,20702,0
184,144480,33841.1,115056714,9925790,33364296,2867809,41568487,144480,53990,6483353,9903841,1964326,52292,763270,2600640,20778,0
185,144480,31533.4,107213390,9648418,29779909,2785151,38905470,144480,53621,5573639,8402242,1745023,52348,763794,2600640,20570,0
186,144480,34763.9,118193723,9489876,31573054,4259338,46689084,144480,54064,6026072,8899865,1838794,52363,764672,2600640,20607,0
187,144480,30797.2,104706809,9434014,28943005,2681406,37935166,144480,53659,5463809,8167454,1693178,52401,765219,2600640,20457,0
188,144480,30617.4,104095696,9479948,28803161,2718022,37746007,144480,53621,5431690,8077070,1709370,52396,765223,2600640,20274,0
189,144480,30504.3,103712274,9624924,27714032,2779079,37805979,144480,53409,5135591,7660138,1596035,52414,766453,2600640,20261,0
190,144480,30327.6,103112378,9548322,27501273,2756901,37562889,144480,53832,5067913,7556020,1571705,52473,767099,2600640,20396,0
191,144480,30473.8,103607860,9558556,27777265,2753871,37747959,144480,53556,5112349,7633276,1604636,52526,767688,2600640,20101,0
